cenario,ano,setor,janela,car,ar_medio,ar_std,n_dias,alpha,beta,r_squared,sigma_resid,n_obs_estimacao,est_inicio,est_fim,janela_inicio,janela_fim,t_stat_simples,p_value_simples,t_stat_silva,p_value_silva,t_stat_bmp,p_value_bmp,sig_5pct_simples,sig_10pct_simples,sig_5pct_silva,sig_5pct_bmp,selic_anual,ipca_anual,selic_proporcional,ipca_proporcional,car_excesso_selic,car_excesso_ipca
sem_crises,2006,Bens Industriais,ciclo_1sem,-0.19278662751583456,-0.001567370955413289,0.06568660469998072,123,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-01-02,2006-06-30,-0.26463515475480176,0.7917370997167117,-0.28577640912109453,0.7808815641419304,0.2574130603349426,0.8020792782384483,False,False,False,False,0.1513,0.0314,0.07384880952380952,0.015326190476190474,-0.2666354370396441,-0.20811281799202502
sem_crises,2006,Bens Industriais,ciclo_2sem,0.549201533967424,0.004465053121686374,0.007427857283227735,123,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-07-01,2006-12-31,6.666772497222979,8.049125810316582e-10,0.10528693124505423,0.9182301050407276,1.4315629375361028,0.18277208656547672,True,True,False,False,0.1513,0.0314,0.07384880952380952,0.015326190476190474,0.4753527244436145,0.5338753434912336
sem_crises,2006,Bens Industriais,estendida,0.549201533967424,0.004465053121686374,0.007427857283227735,123,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-07-01,2006-12-31,6.666772497222979,8.049125810316582e-10,0.10528693124505423,0.9182301050407276,1.4315629375361028,0.18277208656547672,True,True,False,False,0.1513,0.0314,0.07384880952380952,0.015326190476190474,0.4753527244436145,0.5338753434912336
sem_crises,2006,Comunicações,antecipacao_45,-0.0045008609740013125,-0.00010001913275558473,0.008435729155954455,45,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-07-28,2006-09-29,-0.0795365435840947,0.9369665141100505,-0.39403052783008985,0.701830061927158,0.7004855537874141,0.4995971710252707,False,False,False,False,0.1513,0.0314,0.027017857142857142,0.0056071428571428565,-0.031518718116858455,-0.010108003831144168
sem_crises,2006,Comunicações,antecipacao_60,-0.013385140293578908,-0.00022308567155964848,0.008008968657814529,60,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-07-07,2006-09-29,-0.21575988810618835,0.8299190990341123,-1.2359619418041685,0.24471788661244553,0.3998289198079959,0.6976894212263713,False,False,False,False,0.1513,0.0314,0.03602380952380952,0.007476190476190476,-0.04940894981738843,-0.020861330769769384
sem_crises,2006,Comunicações,reacao_curta,0.00035261282197823415,3.205571108893038e-05,0.006981864423736761,11,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-09-25,2006-10-09,0.015227560951851774,0.9881501604806622,-1.5786186017801782,0.14550343878383165,-1.4376272902148197,0.1810860801257086,False,False,False,False,0.1513,0.0314,0.006604365079365079,0.0013706349206349206,-0.006251752257386845,-0.0010180220986566865
sem_crises,2006,Comunicações,reacao_media,0.006119829165610926,0.00029142043645766317,0.006643331233377112,21,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-09-18,2006-10-17,0.20102207194107286,0.8427116020847496,-2.1421120184492644,0.05782868939053776,-1.807162209623332,0.10086800683553943,False,False,False,False,0.1513,0.0314,0.012608333333333333,0.0026166666666666664,-0.006488504167722406,0.00350316249894426
sem_crises,2006,Comunicações,reacao_ampla,0.021038455733033062,0.000513133066659343,0.007477168159905722,41,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-09-01,2006-10-31,0.43942502106253456,0.6627185196280558,-1.3172966904617975,0.21712316841829837,-0.6729618705681601,0.5162210292279859,False,False,False,False,0.1513,0.0314,0.024616269841269838,0.005108730158730158,-0.003577814108236776,0.015929725574302903
sem_crises,2006,Comunicações,reacao_2turno,0.039857796651956046,0.0036234360592687313,0.006657788664210935,11,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-10-23,2006-11-07,1.8050404521007197,0.10121750628039039,2.0058029398571193,0.07268161149618857,2.1296931490203357,0.059051784919301964,False,False,False,False,0.1513,0.0314,0.006604365079365079,0.0013706349206349206,0.03325343157259097,0.03848716173132113
sem_crises,2006,Comunicações,ciclo_1sem,0.029842156676140486,0.00024261915996862183,0.01325917763900761,123,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-01-02,2006-06-30,0.20293691841568687,0.8395224048022412,-0.28577640912109453,0.7808815641419304,0.2574130603349426,0.8020792782384483,False,False,False,False,0.1513,0.0314,0.07384880952380952,0.015326190476190474,-0.04400665284766904,0.014515966199950011
sem_crises,2006,Comunicações,ciclo_2sem,0.03438146473535367,0.0002795241035394607,0.007427821531968968,123,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-07-01,2006-12-31,0.41735955305107975,0.6771489783551443,0.10528693124505423,0.9182301050407276,1.4315629375361028,0.18277208656547672,False,False,False,False,0.1513,0.0314,0.07384880952380952,0.015326190476190474,-0.03946734478845586,0.019055274259163195
sem_crises,2006,Comunicações,estendida,0.03438146473535367,0.0002795241035394607,0.007427821531968968,123,0.00046603085847077513,0.12087700165433923,0.027108314819035306,0.011767041354870469,223,2005-09-27,2006-08-18,2006-07-01,2006-12-31,0.41735955305107975,0.6771489783551443,0.10528693124505423,0.9182301050407276,1.4315629375361028,0.18277208656547672,False,False,False,False,0.1513,0.0314,0.07384880952380952,0.015326190476190474,-0.03946734478845586,0.019055274259163195
sem_crises,2006,Construção e Transporte,antecipacao_45,-0.276029555935348,-0.006133990131896623,0.01563700484150158,45,0.007178557551296648,0.46105434799657197,0.013039432077493696,0.0651801416606043,223,2005-09-27,2006-08-18,2006-07-28,2006-09-29,-2.6314538584455613,0.011678255785090297,-0.39403052783008985,0.701830061927158,0.7004855537874141,0.4995971710252707,True,True,False,False,0.1513,0.0314,0.027017857142857142,0.0056071428571428565,-0.30304741307820515,-0.28163669879249087
sem_crises,2006,Construção e Transporte,antecipacao_60,-0.4518322142700179,-0.0075305369045002984,0.014911671269861723,60,0.007178557551296648,0.46105434799657197,0.013039432077493696,0.0651801416606043,223,2005-09-27,2006-08-18,2006-07-07,2006-09-29,-3.911787416890993,0.00023946844184608018,-1.2359619418041685,0.24471788661244553,0.3998289198079959,0.6976894212263713,True,True,False,False,0.1513,0.0314,0.03602380952380952,0.007476190476190476,-0.4878560237938274,-0.4593084047462084
sem_crises,2006,Construção e Transporte,reacao_curta,-0.09720248189993819,-0.008836589263630745,0.008008031384332757,11,0.007178557551296648,0.46105434799657197,0.013039432077493696,0.0651801416606043,223,2005-09-27,2006-08-18,2006-09-25,2006-10-09,-3.65978223702829,0.00439066585414305,-1.5786186017801782,0.14550343878383165,-1.4376272902148197,0.1810860801257086,True,True,False,False,0.1513,0.0314,0.006604365079365079,0.0013706349206349206,-0.10380684697930327,-0.09857311682057311
