ticker_yf,status,motivo
ELPL3.SA,falha,sem_dados
EMAE4.SA,ok,
ENGI11.SA,ok,
ENMR3.SA,falha,sem_dados
ENMS3.SA,falha,sem_dados
ENMT3.SA,ok,
ENSE3.SA,falha,sem_dados
EQMA3.SA,falha,sem_dados
EQPA3.SA,ok,
GEPA3.SA,ok,
GPAR3.SA,ok,
GSMG3.SA,falha,sem_dados
ISAE4.SA,ok,
IVTC3.SA,falha,sem_dados
LISE3.SA,falha,sem_dados
NEOE3.SA,ok,
PIRP3.SA,falha,sem_dados
REDE3.SA,ok,
RGES3.SA,falha,sem_dados
SAN3.SA,falha,sem_dados
SANE3.SA,falha,sem_dados
TWEC3.SA,falha,sem_dados
ARI4.SA,falha,sem_dados
ARIO3.SA,falha,sem_dados
ATER3.SA,falha,sem_dados
CPGT3.SA,falha,sem_dados
CPLD3.SA,falha,sem_dados
CPRE3.SA,falha,sem_dados
DNMC3.SA,falha,sem_dados
EESG3.SA,falha,sem_dados
ENBR3.SA,falha,sem_dados
ENEV3.SA,ok,
ENGT3.SA,falha,sem_dados
ENPB3.SA,falha,sem_dados
ENSS3.SA,falha,sem_dados
EQGO3.SA,falha,sem_dados
EQTL3.SA,ok,
ESST3.SA,falha,sem_dados
FGOM3.SA,falha,sem_dados
FOZR3.SA,falha,sem_dados
IGRJ3.SA,falha,sem_dados
IGUA3.SA,falha,sem_dados
LIEN3.SA,falha,sem_dados
LIGT3.SA,ok,
LMTP3.SA,falha,sem_dados
LXTP3.SA,falha,sem_dados
MANT3.SA,falha,sem_dados
MLTN3.SA,falha,sem_dados
NBRT3.SA,falha,sem_dados
NRT3.SA,falha,sem_dados
ORVR3.SA,ok,
ORZM3.SA,falha,sem_dados
PAMP3.SA,falha,sem_dados
PASS3.SA,falha,sem_dados
PLGS3.SA,falha,sem_dados
PROM3.SA,falha,sem_dados
RALT3.SA,falha,sem_dados
REGE3.SA,falha,sem_dados
RNEW4.SA,ok,
RPAR3.SA,falha,sem_dados
SAEN3.SA,falha,sem_dados
SNOP3.SA,falha,sem_dados
SRGE3.SA,falha,sem_dados
SRNA3.SA,falha,sem_dados
TAEE11.SA,ok,
TAPJ3.SA,falha,sem_dados
TJMM3.SA,falha,sem_dados
TPE3.SA,falha,sem_dados
