setor,ano,abhar_vw,abhar_ew,n_ativos,bhar_medio,bhar_mediana,bhar_std,p_ttest,p_wilcoxon,tickers_validos,r2_medio,tipo
Materiais Básicos,2014,-0.036828860638697745,-0.068553517489458,31,-0.068553517489458,-0.055738889814326065,0.1561011045812292,0.020566020466537,0.016678825952112675,BALM4.SA|BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|MSPA4.SA|EALT3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|KLBN11.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|MTSA4.SA|NORD3.SA|PATI4.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|SUZB3.SA|TKNO4.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA|FHER3.SA,0.1190152095168309,Eleitoral
"Petróleo, Gás e Biocombustíveis",2014,-0.023815519031931444,-0.015616855820436176,4,-0.015616855820436176,-0.044510579626943936,0.10103923382069149,0.7774520942790676,,PETR4.SA|RPMG3.SA|UGPA3.SA|PRIO3.SA,0.2753500988359713,Eleitoral
Saúde,2014,-0.03712122694774062,-0.022249058119888625,7,-0.022249058119888625,-0.047187716876123775,0.12404435141577635,0.651885172138267,0.296875,BOBR4.SA|BIOM3.SA|DASA3.SA|FLRY3.SA|HYPE3.SA|BPHA3.SA|ODPV3.SA,0.06705189014471778,Eleitoral
Utilidade Pública,2014,-0.06583167288989455,-0.04535840842291277,25,-0.04535840842291277,-0.029867882116893174,0.1495566768384136,0.14247306815121705,0.20993918180465698,CBEE3.SA|CLSC4.SA|CASN3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|SAPR4.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ENGI11.SA|EQPA3.SA|ISAE4.SA|GEPA3.SA|AFLT3.SA|GPAR3.SA|ENEV3.SA|EQTL3.SA|LIGT3.SA|TAEE11.SA,0.08572797017418723,Eleitoral
Bens Industriais,2018,-0.02418199849312572,0.03466789939326491,18,0.03466789939326491,-0.04088548023031813,0.28330307840821695,0.6103329970751133,0.49507904052734375,BDLL4.SA|FRAS3.SA|INEP3.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|MMAQ4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA|LUPA3.SA|FRIO3.SA,0.11173609803719341,Eleitoral
Comunicações,2018,-0.009468669172219299,0.00860597188025972,7,0.00860597188025972,0.014253772803266118,0.05985305864177692,0.7167377031946329,0.578125,DTCY3.SA|OIBR3.SA|PDTC3.SA|TELB4.SA|VIVT3.SA|TOTS3.SA|VLID3.SA,0.09781793289522836,Eleitoral
Construção e Transporte,2018,0.0566807548911079,0.03430083966782899,44,0.03430083966782899,0.05282117324841784,0.10505551349828406,0.03591962184236898,0.012122378661729272,AZEV4.SA|CALI3.SA|SULT4.SA|CORR4.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|VSPT3.SA|GFSA3.SA|JFEN3.SA|MRSA3B.SA|PTBL3.SA|RSID3.SA|SOND5.SA|TPIS3.SA|ECOR3.SA|TEND3.SA|DXCO3.SA|DIRR3.SA|ECOR3.SA|EVEN3.SA|EZTC3.SA|EZTC3.SA|FIEI3.SA|HBOR3.SA|JHSF3.SA|RENT3.SA|RENT3.SA|LOGN3.SA|LPSB3.SA|MILS3.SA|MOVI3.SA|MRVE3.SA|MULT3.SA|PDGR3.SA|RDNI3.SA|ECOR3.SA|SYNE3.SA|TCSA3.SA|TGMA3.SA|TPIS3.SA|TRIS3.SA|UCAS3.SA|VIVR3.SA,0.1773865803391934,Eleitoral
Consumo Cíclico,2018,0.05110338522244485,0.023624426004598655,35,0.023624426004598655,0.036080810411349695,0.09204276850233464,0.13814134560485175,0.02872607356403023,ALPA4.SA|BMKS3.SA|CTSA4.SA|CTSA4.SA|PCAR3.SA|CEDO4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|PTNT4.SA|RADL3.SA|SLED4.SA|AHEB3.SA|TEKA4.SA|TXRX4.SA|VULC3.SA|AMER3.SA|AZZA3.SA|CVCB3.SA|GSHP3.SA|GRND3.SA|MGLU3.SA|AMAR3.SA|OFSA3.SA|PFRM3.SA|SHOW3.SA|TECN3.SA|VSTE3.SA,0.11995460167763086,Eleitoral
Consumo Não Cíclico,2018,-0.08467091852946476,-0.0503322256668681,15,-0.0503322256668681,-0.04657750138850636,0.08603357887495694,0.03984690885367957,0.02154541015625,APTI4.SA|ODER4.SA|BAUH4.SA|JOPA4.SA|MNPR3.SA|ABEV3.SA|AGRO3.SA|CAML3.SA|CSAN3.SA|MEAL3.SA|MDIA3.SA|BEEF3.SA|NUTR3.SA|SLCE3.SA|SMTO3.SA,0.10846637292175,Eleitoral
Financeiro,2018,-0.0028332750692815914,-0.013435492321299402,34,-0.013435492321299402,0.006402601931471241,0.08647538646741634,0.3715338804966465,0.9193615607218817,RPAD5.SA|BMIN4.SA|BPAN4.SA|BBDC4.SA|BAZA3.SA|BBAS3.SA|BGIP4.SA|BPAR3.SA|BRSR6.SA|BNBR3.SA|BMEB4.SA|BMIN4.SA|BEES4.SA|PEAB4.SA|HBTS5.SA|BRGE11.SA|MERC4.SA|CRIV4.SA|FIGE4.SA|ITSA4.SA|MERC4.SA|MERC4.SA|PSSA3.SA|QUAL3.SA|ABCB4.SA|ABCB4.SA|BPAC3.SA|BPAN4.SA|SANB11.SA|BBSE3.SA|PCAR3.SA|IRBR3.SA|ITUB4.SA|QUAL3.SA,0.16899511535835193,Eleitoral
